City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,287.22,85,42,1.58,AU,1700496663
1,bredasdorp,-34.5322,20.0403,296.01,59,100,7.77,ZA,1700496664
2,vilyuchinsk,52.9306,158.4028,274.3,77,100,6.49,RU,1700496664
3,grytviken,-54.2811,-36.5092,275.23,99,100,2.96,GS,1700496664
4,edinburgh of the seven seas,-37.0676,-12.3116,286.52,85,100,9.77,SH,1700496664
5,punta arenas,-53.15,-70.9167,277.1,86,100,2.71,CL,1700496665
6,walvis bay,-22.9575,14.5053,292.64,56,35,6.33,NA,1700496665
7,sinabang,2.4803,96.3801,299.08,87,99,3.11,ID,1700496665
8,jining,35.405,116.5814,282.51,68,0,3.44,CN,1700496666
9,lebu,-37.6167,-73.65,286.62,73,85,2.33,CL,1700496666
10,adamstown,-25.066,-130.1015,294.4,90,100,7.39,PN,1700496391
11,ghat,24.9647,10.1728,295.67,19,74,2.41,LY,1700496666
12,tiksi,71.6872,128.8694,244.46,100,100,1.91,RU,1700496667
13,bethel,41.3712,-73.414,278.71,47,0,3.6,US,1700496667
14,luderitz,-26.6481,15.1594,292.88,71,83,2.96,NA,1700496667
15,iqaluit,63.7506,-68.5145,267.0,85,75,9.26,CA,1700496668
16,bonthe,7.5264,-12.505,302.55,68,100,1.03,SL,1700496668
17,kalabo,-14.97,22.6814,309.28,16,100,1.21,ZM,1700496668
18,pierre,44.3683,-100.351,280.66,91,100,2.57,US,1700496668
19,georgetown,5.4112,100.3354,302.11,65,20,3.6,MY,1700496669
20,ribeira grande,38.5167,-28.7,291.91,77,40,7.2,PT,1700496669
21,atbara,17.7022,33.9864,300.15,18,17,5.07,SD,1700496669
22,tazovsky,67.4667,78.7,247.22,100,100,2.94,RU,1700496669
23,jamestown,42.097,-79.2353,275.95,45,0,2.57,US,1700496670
24,luza,60.6308,47.2512,263.69,94,57,1.55,RU,1700496670
25,puerto natales,-51.7236,-72.4875,283.4,57,40,3.6,CL,1700496670
26,kununurra,-15.7667,128.7333,297.14,88,75,6.69,AU,1700496670
27,waitangi,-43.9535,-176.5597,285.27,86,100,2.68,NZ,1700496671
28,tamandare,-8.7597,-35.1047,302.01,60,88,4.91,BR,1700496671
29,wailua homesteads,22.0669,-159.378,294.59,88,100,8.23,US,1700496671
30,weno,7.4515,151.8468,298.12,94,100,1.54,FM,1700496671
31,totness,5.8833,-56.3167,303.53,64,37,4.76,SR,1700496672
32,yellowknife,62.456,-114.3525,261.71,97,100,8.75,CA,1700496672
33,hithadhoo,-0.6,73.0833,301.21,76,46,6.46,MV,1700496672
34,joshimath,30.5667,79.5667,282.31,40,3,3.57,IN,1700496673
35,ushuaia,-54.8,-68.3,278.96,66,75,6.71,AR,1700496655
36,lompoc,34.6391,-120.4579,289.14,68,0,4.12,US,1700496489
37,jerome,42.7241,-114.5186,275.2,78,0,2.06,US,1700496673
38,port-aux-francais,-49.35,70.2167,277.44,95,100,10.93,TF,1700496674
39,gebeit,21.0667,36.3167,296.59,39,83,5.14,SD,1700496674
40,albany,42.6001,-73.9662,275.69,54,0,2.24,US,1700496674
41,wafangdian,39.6183,122.0081,279.37,86,9,2.39,CN,1700496674
42,utrik,11.2278,169.8474,300.83,72,8,9.05,MH,1700496675
43,umluj,25.0213,37.2685,297.49,54,40,6.27,SA,1700496675
44,plakhtiyivka,46.1006,29.7217,276.03,78,100,2.92,UA,1700496675
45,alice springs,-23.7,133.8833,293.9,68,0,0.0,AU,1700496675
46,harper,4.375,-7.7169,301.33,73,30,2.63,LR,1700496676
47,papatowai,-46.5619,169.4708,281.15,83,36,1.67,NZ,1700496676
48,fort mcmurray,56.7268,-111.381,267.19,63,23,5.12,CA,1700496676
49,dudinka,69.4058,86.1778,242.38,100,95,2.03,RU,1700496677
50,ilulissat,69.2167,-51.1,271.16,93,75,4.63,GL,1700496606
51,dauphin,51.1494,-100.0502,277.71,71,37,5.33,CA,1700496677
52,stanley,54.868,-1.6985,283.03,96,40,1.54,GB,1700496677
53,bardai,11.65,7.2333,300.94,21,100,3.57,NG,1700496678
54,shizunai-furukawacho,42.3339,142.3669,277.91,73,56,6.23,JP,1700496678
55,fort bragg,35.139,-79.006,289.51,42,0,6.17,US,1700496679
56,hamilton,39.1834,-84.5333,282.28,68,75,6.69,US,1700496679
57,holualoa,19.6228,-155.9522,294.06,75,0,4.12,US,1700496679
